,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Position
0,L. Messi,31,Argentina,94,94,FC Barcelona,€110.5M,€565K,RF
1,Cristiano Ronaldo,33,Portugal,94,94,Juventus,€77M,€405K,ST
2,Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,€118.5M,€290K,LW
3,De Gea,27,Spain,91,93,Manchester United,€72M,€260K,GK
4,K. De Bruyne,27,Belgium,91,92,Manchester City,€102M,€355K,RCM
5,E. Hazard,27,Belgium,91,91,Chelsea,€93M,€340K,LF
6,L. Modri?,32,Croatia,91,91,Real Madrid,€67M,€420K,RCM
7,L. Suárez,31,Uruguay,91,91,FC Barcelona,€80M,€455K,RS
8,Sergio Ramos,32,Spain,91,91,Real Madrid,€51M,€380K,RCB
9,J. Oblak,25,Slovenia,90,93,Atlético Madrid,€68M,€94K,GK
10,R. Lewandowski,29,Poland,90,90,FC Bayern München,€77M,€205K,ST
11,T. Kroos,28,Germany,90,90,Real Madrid,€76.5M,€355K,LCM
12,D. Godín,32,Uruguay,90,90,Atlético Madrid,€44M,€125K,CB
13,David Silva,32,Spain,90,90,Manchester City,€60M,€285K,LCM
14,N. Kanté,27,France,89,90,Chelsea,€63M,€225K,LDM
15,P. Dybala,24,Argentina,89,94,Juventus,€89M,€205K,LF
16,H. Kane,24,England,89,91,Tottenham Hotspur,€83.5M,€205K,ST
17,A. Griezmann,27,France,89,90,Atlético Madrid,€78M,€145K,CAM
18,M. ter Stegen,26,Germany,89,92,FC Barcelona,€58M,€240K,GK
19,T. Courtois,26,Belgium,89,90,Real Madrid,€53.5M,€240K,GK
20,Sergio Busquets,29,Spain,89,89,FC Barcelona,€51.5M,€315K,CDM
21,E. Cavani,31,Uruguay,89,89,Paris Saint-Germain,€60M,€200K,LS
22,M. Neuer,32,Germany,89,89,FC Bayern München,€38M,€130K,GK
23,S. Agüero,30,Argentina,89,89,Manchester City,€64.5M,€300K,ST
24,G. Chiellini,33,Italy,89,89,Juventus,€27M,€215K,LCB
25,K. Mbappé,19,France,88,95,Paris Saint-Germain,€81M,€100K,RM
26,M. Salah,26,Egypt,88,89,Liverpool,€69.5M,€255K,RM
27,Casemiro,26,Brazil,88,90,Real Madrid,€59.5M,€285K,CDM
28,J. Rodríguez,26,Colombia,88,89,FC Bayern München,€69.5M,€315K,LAM
29,L. Insigne,27,Italy,88,88,Napoli,€62M,€165K,LW
30,Isco,26,Spain,88,91,Real Madrid,€73.5M,€315K,LW
31,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,€73.5M,€205K,CAM
32,Coutinho,26,Brazil,88,89,FC Barcelona,€69.5M,€340K,LW
33,P. Aubameyang,29,Gabon,88,88,Arsenal,€59M,€265K,LM
34,M. Hummels,29,Germany,88,88,FC Bayern München,€46M,€160K,LCB
35,Marcelo,30,Brazil,88,88,Real Madrid,€43M,€285K,LB
36,G. Bale,28,Wales,88,88,Real Madrid,€60M,€355K,ST
37,H. Lloris,31,France,88,88,Tottenham Hotspur,€36M,€150K,GK
38,G. Higuaín,30,Argentina,88,88,Milan,€57M,€245K,LS
39,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,€24M,€165K,RCB
40,S. Handanovi?,33,Slovenia,88,88,Inter,€30M,€110K,GK
41,G. Buffon,40,Italy,88,88,Paris Saint-Germain,€4M,€77K,GK
42,S. Umtiti,24,France,87,92,FC Barcelona,€57M,€205K,CB
43,M. Icardi,25,Argentina,87,90,Inter,€64.5M,€130K,ST
44,K. Koulibaly,27,Senegal,87,90,Napoli,€51M,€115K,LCB
45,P. Pogba,25,France,87,91,Manchester United,€64M,€210K,RDM
46,K. Navas,31,Costa Rica,87,87,Real Madrid,€30.5M,€195K,GK
47,R. Lukaku,25,Belgium,87,89,Manchester United,€62.5M,€230K,ST
48,C. Immobile,28,Italy,87,87,Lazio,€52M,€115K,ST
49,Jordi Alba,29,Spain,87,87,FC Barcelona,€38M,€250K,LB
50,D. Mertens,31,Belgium,87,87,Napoli,€45M,€135K,RF
51,J. Vertonghen,31,Belgium,87,87,Tottenham Hotspur,€34M,€155K,LCB
52,M. Hamšík,30,Slovakia,87,87,Napoli,€46.5M,€125K,LCM
53,I. Rakiti?,30,Croatia,87,87,FC Barcelona,€46.5M,€260K,RCM
